run_label,hidden_size,learning_rate,dropout,best_rmse,best_mae,best_mape,history_csv,history_plot,weights_path
hs96_lr0.001_do0.2,96,0.001,0.2,0.5725154656815791,0.32014620304107666,73.13773345947266,reports/metrics/forecaster/sweeps/lstm_20251008_191509_history.csv,reports/metrics/forecaster/sweeps/lstm_20251008_191509_training.png,models/forecaster/sweeps/hs96_lr0.001_do0.2/lstm_best.pt
hs96_lr0.0005_do0.2,96,0.0005,0.2,0.5797356773160117,0.34000107645988464,72.23141479492188,reports/metrics/forecaster/sweeps/lstm_20251008_191519_history.csv,reports/metrics/forecaster/sweeps/lstm_20251008_191519_training.png,models/forecaster/sweeps/hs96_lr0.0005_do0.2/lstm_best.pt
hs128_lr0.001_do0.2,128,0.001,0.2,0.5781586611459162,0.3331657946109772,73.6383285522461,reports/metrics/forecaster/sweeps/lstm_20251008_191520_history.csv,reports/metrics/forecaster/sweeps/lstm_20251008_191520_training.png,models/forecaster/sweeps/hs128_lr0.001_do0.2/lstm_best.pt
hs128_lr0.0005_do0.2,128,0.0005,0.2,0.5530120906784258,0.291159451007843,76.96939086914062,reports/metrics/forecaster/sweeps/lstm_20251008_191521_history.csv,reports/metrics/forecaster/sweeps/lstm_20251008_191521_training.png,models/forecaster/sweeps/hs128_lr0.0005_do0.2/lstm_best.pt
