epoch,train_loss,val_loss,val_rmse,val_mae,val_mape
1,1.3483729873384749,0.5811139941215515,0.7623083327116079,0.4672411382198334,52.8261604309082
2,1.2715146155584427,0.3908516466617584,0.6251812910362549,0.3791258633136749,66.72811126708984
3,1.2365823694637843,0.33013656735420227,0.57457511898289,0.32978108525276184,72.3972396850586
4,1.2212533246903192,0.34146010875701904,0.5843458810987026,0.3378590941429138,70.59558868408203
5,1.2413623469216484,0.4238959550857544,0.6510729260887403,0.3860436677932739,66.06031799316406
6,1.2264346372513544,0.3772202432155609,0.614182581335193,0.3683452308177948,68.2511978149414
7,1.201726222038269,0.33101528882980347,0.5753392814938012,0.32912757992744446,72.01441955566406
8,1.2223219553629556,0.32777395844459534,0.5725154656815791,0.32014620304107666,73.13773345947266
9,1.202179928052993,0.38678616285324097,0.6219213478031133,0.3748241662979126,67.32695007324219
10,1.1991175992148264,0.44124719500541687,0.6642644014286908,0.40923982858657837,63.64509582519531
11,1.199450633639381,0.4235374927520752,0.6507975820115462,0.3981359601020813,65.09547424316406
12,1.1920798454965864,0.3840647339820862,0.619729565199278,0.37315478920936584,67.90206146240234
13,1.1871073302768527,0.3475186824798584,0.5895071521871964,0.34662437438964844,70.8368911743164
14,1.1722256546928769,0.3935530185699463,0.6273380417047465,0.3804156482219696,66.62486267089844
15,1.1710738624845232,0.3935781717300415,0.6273580889173594,0.3814220428466797,67.26602172851562
16,1.1703945511863345,0.37589842081069946,0.6131055543792597,0.3606548607349396,70.52680206298828
17,1.158344150724865,0.38281527161598206,0.6187206733381244,0.3688397705554962,69.90509033203125
18,1.1519721411523365,0.3899053931236267,0.6244240491233716,0.37726926803588867,68.66204071044922
19,1.1454031592323666,0.3969931900501251,0.6300739560163752,0.3784946799278259,68.12108612060547
20,1.1392694916043962,0.3903047442436218,0.6247437428607203,0.3745720088481903,69.13684844970703
21,1.1271699122020176,0.4058220088481903,0.6370416068422771,0.3829808831214905,68.64013671875
22,1.1230041867210752,0.4135130047798157,0.6430497685092622,0.3873235285282135,67.58157348632812
23,1.1232783374332247,0.4096129834651947,0.640010143251804,0.38137543201446533,67.88227844238281
24,1.1241325298945108,0.4080779552459717,0.6388097958281257,0.37126338481903076,69.75728607177734
25,1.098105153583345,0.39443886280059814,0.6280436790547279,0.3689255118370056,70.1891098022461
