epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1184,1.51595,5.27869,1.28386,0.00909,0.00649,0.00633,0.00531,1.45488,4.81412,1.21538,0.000102703,0.000102703,0.000102703
2,184.724,1.4301,4.62933,1.13453,0.00666,0.24659,0.00971,0.00554,1.56518,4.82603,1.26997,0.000166043,0.000166043,0.000166043
3,275.512,1.35065,4.22435,1.12655,0.83126,0.02273,0.02262,0.01487,1.47065,4.50807,1.27652,0.000188067,0.000188067,0.000188067
4,367.559,1.2971,4.0042,1.0961,0.58524,0.0367,0.02459,0.01361,1.40189,4.46527,1.23729,0.000127078,0.000127078,0.000127078
5,462.069,1.27406,3.90934,1.09259,0.63221,0.04427,0.02875,0.01614,1.37868,4.46644,1.21686,6.5104e-05,6.5104e-05,6.5104e-05
