epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5863.75,0.72293,0.78321,0.99685,0.33347,0.26336,0.21685,0.15815,1.23439,3.78634,1.37888,0.000242419,0.000242419,0.000242419
43,5876.89,0.71989,0.75456,0.98133,0.14699,0.25692,0.1771,0.13207,1.22009,3.69606,1.39255,0.000240697,0.000240697,0.000240697
44,5889.39,0.74529,0.79174,0.99737,0.39879,0.19724,0.17028,0.12379,1.24544,3.778,1.40649,0.000238976,0.000238976,0.000238976
45,5902.08,0.73823,0.82401,0.9961,0.30207,0.26101,0.21287,0.15161,1.22612,3.76605,1.41386,0.000237254,0.000237254,0.000237254
46,5914.61,0.72502,0.77102,0.99414,0.21898,0.22831,0.1854,0.13847,1.23233,3.74236,1.42732,0.000235533,0.000235533,0.000235533
47,5927.16,0.70556,0.69759,0.97748,0.26704,0.23886,0.20697,0.15022,1.21948,3.71796,1.42421,0.000233811,0.000233811,0.000233811
48,5939.61,0.71043,0.7953,0.96843,0.2923,0.28774,0.22452,0.16172,1.21986,3.76896,1.4358,0.00023209,0.00023209,0.00023209
49,5952.59,0.70203,0.70506,0.99263,0.35882,0.24137,0.19129,0.13928,1.24578,3.92452,1.44439,0.000230368,0.000230368,0.000230368
50,5965.1,0.71928,0.73782,0.97383,0.37554,0.24963,0.21059,0.15343,1.2328,3.82553,1.41574,0.000228647,0.000228647,0.000228647
51,5977.68,0.70319,0.70283,0.96884,0.30565,0.24235,0.20341,0.15165,1.25804,3.96231,1.44859,0.000226925,0.000226925,0.000226925
52,5990.11,0.71171,0.73959,0.9987,0.49858,0.21559,0.20614,0.15256,1.23227,3.82132,1.4288,0.000225204,0.000225204,0.000225204
53,6002.82,0.71134,0.67583,0.98989,0.32093,0.22962,0.19542,0.14689,1.23386,3.84733,1.41743,0.000223482,0.000223482,0.000223482
54,6015.13,0.68603,0.67902,0.97175,0.23404,0.26946,0.20036,0.14839,1.2162,3.87277,1.40795,0.00022176,0.00022176,0.00022176
55,6027.73,0.67756,0.64719,0.95939,0.20116,0.21507,0.17269,0.12438,1.22523,4.28749,1.38525,0.000220039,0.000220039,0.000220039
56,6040.26,0.67208,0.63616,0.96944,0.29764,0.20557,0.19118,0.14333,1.21323,4.10325,1.37755,0.000218318,0.000218318,0.000218318
57,6052.91,0.69538,0.62602,0.95944,0.25429,0.23142,0.19064,0.13973,1.2207,4.04893,1.39975,0.000216596,0.000216596,0.000216596
58,6065.25,0.65992,0.63284,0.97359,0.29207,0.23851,0.19507,0.14422,1.20768,3.85178,1.39075,0.000214875,0.000214875,0.000214875
59,6077.68,0.6401,0.61587,0.935,0.40454,0.2174,0.19386,0.14235,1.19008,4.02976,1.37949,0.000213153,0.000213153,0.000213153
60,6090.06,0.6593,0.63427,0.94916,0.26247,0.26726,0.20093,0.14943,1.18467,3.94445,1.39257,0.000211432,0.000211432,0.000211432
61,6102.68,0.68217,0.64612,0.96966,0.34152,0.20101,0.18854,0.14125,1.21953,3.9894,1.39449,0.00020971,0.00020971,0.00020971
62,6115.09,0.646,0.64739,0.95748,0.29518,0.23266,0.198,0.14849,1.22695,4.211,1.39248,0.000207988,0.000207988,0.000207988
